School,Name,Title,FirstName,Surname,Discipline,Keywords
CBE,Prof Fariba Dehghani,Prof,Fariba,Dehghani,BIOENGINEERING,"tissue engineering, regenerative medicine"
AMME,Dr Doug Auld,Dr,Doug,Auld,AEROSPACE,Space Engineering
AMME,Dr Peter Gibbens,Dr,Peter,Gibbens,AEROSPACE,"Flight Mechanics,Flight Testing,Control Theory,Unmanned Aerial Vehicles"
AMME,Prof Liyong Tong,Prof,Liyong,Tong,AEROSPACE,Computational and experimental analysis of composite and smart structures
AMME,Dr Gareth Vio,Dr,Gareth,Vio,AEROSPACE,"Non-linear Aeroelasticity, Non-linear Vibration, Non-linear System Identification, Gust Response, Aeroelastic Tailoring"
AMME,Dr Dries Verstraete,Dr,Dries,Verstraete,AEROSPACE,Aircraft Design
AMME,Dr KC Wong,Dr,KC,Wong,AEROSPACE,Aircraft Design
AMME,Dr Doug Auld,Dr,Doug,Auld,SPACE,Space Engineering Research
AMME,Prof Salah Sukkarieh,Prof,Salah,Sukkarieh,SPACE,"Space Engineering, UAV systems, Field robotics, ag robotics and intelligent systems"
AMME,Dr Xiaofeng Wu,Dr,Xiaofeng,Wu,SPACE,System-on-Chip/VLSI Design for High-Performance Computing On-board Spacecraft
AMME,Dr Philip Boughton,Dr,Philip,Boughton,BIOMEDICAL,Biomedical Engineering and Device Development
AMME,A/Prof Colin Dunstan,A/Prof,Colin,Dunstan,BIOMEDICAL,Biomaterials and Tissue Engineering
AMME,A/Prof Qing Li,A/Prof,Qing,Li,BIOMEDICAL,Design of Metamaterials
AMME,Prof Andrew Ruys,Prof,Andrew,Ruys,BIOMEDICAL,Bioceramics
AMME,Prof Hala Zreiqat,Prof,Hala,Zreiqat,BIOMEDICAL,Tissue Engineering and Biomaterials Research
AMME,Dr Rodney Fiford,Dr,Rodney,Fiford,MECHANICAL - DESIGN & SUSTAINABILITY,"FSAE, Mechanical Design and Sustainability"
AMME,Mr Paul Briozzo,Mr,Paul,Briozzo,MECHANICAL - DESIGN & MANUFACTURING,"Machine Design, Crashworthiness, Rapid Prototyping, CNC Machining"
AMME,Dr Li Chang,Dr,Li,Chang,MECHANICAL - MANUFACTURING,Precision manufacturing
AMME,A/Prof Julie Cairney,A/Prof,Julie,Cairney,MECHANICAL - MATERIALS & STRUCTURES,Materials & Structures 
AMME,A/Prof Xiaozhou Liao,A/Prof,Xiaozhou,Liao,MECHANICAL - MATERIALS & STRUCTURES,Transmission Electron Microscopy
AMME,Prof Yiu-Wing Mai,Prof,Yiu-Wing,Mai,MECHANICAL - MATERIALS & STRUCTURES,"Smart materials, eco-materials and biomimetics"
AMME,Prof Lin Ye,Prof,Lin,Ye,MECHANICAL - MATERIALS & STRUCTURES,Composites science and technology
AMME,Prof Simon Ringer,Prof,Simon,Ringer,MECHANICAL - MATERIALS & STRUCTURES,Microscopy & Microanalysis
AMME,Prof Steve Armfield,Prof,Steve,Armfield,MECHANICAL - THERMODYNAMICS & FLUIDS,Computational Fluid Dynamics
AMME,Prof Masud Behnia,Prof,Masud,Behnia,MECHANICAL - THERMODYNAMICS & FLUIDS,Thermodynamics & Fluids 
AMME,Dr Matthew Cleary,Dr,Matthew,Cleary,MECHANICAL - THERMODYNAMICS & FLUIDS,Turbulent combustion simulation
AMME,Dr Matthew Dunn,Dr,Matthew,Dunn,MECHANICAL - THERMODYNAMICS & FLUIDS,Combustion and numerical computation of thermofluid flows
AMME,Prof John Kent,Prof,John,Kent,MECHANICAL - THERMODYNAMICS & FLUIDS,Thermo-fluids
AMME,Dr Michael Kirkpatrick,Dr,Michael,Kirkpatrick,MECHANICAL - THERMODYNAMICS & FLUIDS,Environmental Fluid Dynamics
AMME,Prof Assaad Masri,Prof,Assaad,Masri,MECHANICAL - THERMODYNAMICS & FLUIDS,Lifted Flames
AMME,Dr Ahmad Jabbarzadeh,Dr,Ahmad,Jabbarzadeh,"MECHANICAL - 
RHEOLOGY",Nano-Rheology and Nano-Tribology
AMME,Prof Roger Taner,Prof,Roger,Taner,"MECHANICAL -
RHEOLOGY",Polymer processing
AMME,Dr Graham Brooker,Dr,Graham,Brooker,ROBOTICS RESEARCH,Field robotics and intelligent systems
AMME,Dr Ian Manchester,Dr,Ian,Manchester,ROBOTICS RESEARCH,Field robotics and intelligent systems
AMME,Prof Eduardo Nebot,Prof,Eduardo,Nebot,ROBOTICS RESEARCH,Field robotics and intelligent systems
AMME,A/Prof David Rye,A/Prof,David,Rye,ROBOTICS RESEARCH,Field robotics and intelligent systems
AMME,Dr Steve Scheding,Dr,Steve,Scheding,ROBOTICS RESEARCH,Field robotics and intelligent systems
AMME,Prof Salah Sukkarieh,Prof,Salah,Sukkarieh,ROBOTICS RESEARCH,"Space Engineering, UAV systems, Field robotics and intelligent systems"
AMME,Dr Stefan Williams,Dr,Stefan,Williams,ROBOTICS RESEARCH,Field robotics and intelligent systems
